scientificName,key,originalName,matchType,status,rank,kingdom,phylum,class,order,family,genus,species
"Abies alba Mill.","2685484","Abies alba","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Abies","Abies alba"
"Abies cephalonica Loudon","2685326","Abies cephalonica","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Abies","Abies cephalonica"
"Abies grandis (Douglas ex D. Don) Lindl.","2685361","Abies grandis","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Abies","Abies grandis"
"Abies nordmanniana (Steven) Spach","2685552","Abies nordmanniana","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Abies","Abies nordmanniana"
"Abies pinsapo Boiss.","2685464","Abies pinsapo","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Abies","Abies pinsapo"
"Abies procera Rehd.","2685308","Abies procera","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Abies","Abies procera"
"Acacia dealbata Link","2979474","Acacia dealbata","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Acacia","Acacia dealbata"
"Acacia melanoxylon R.Br.","2979000","Acacia melanoxylon","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Acacia","Acacia melanoxylon"
"Acer campestre L.","3189863","Acer campestre","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","Acer","Acer campestre"
"Acer cappadocicum Gled.","7262908","Acer cappadocicum","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","Acer","Acer cappadocicum"
"Acer monspessulanum L.","7262958","Acer monspessulanum","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","Acer","Acer monspessulanum"
"Acer negundo L.","3189866","Acer negundo","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","Acer","Acer negundo"
"Acer opalus Miller","7100278","Acer opalus","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","Acer","Acer opalus"
"Acer platanoides L.","3189846","Acer platanoides","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","Acer","Acer platanoides"
"Acer pseudoplatanus L.","3189870","Acer pseudoplatanus","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","Acer","Acer pseudoplatanus"
"Acer saccharinum L.","3189837","Acer saccharinum","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","Acer","Acer saccharinum"
"Acer tataricum L.","3189843","Acer tataricum","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","Acer","Acer tataricum"
"Aesculus hippocastanum L.","3189815","Aesculus hippocastanum","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","Aesculus","Aesculus hippocastanum"
"Ailanthus altissima (Miller) Swingle","3190653","Ailanthus altissima","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Simaroubaceae","Ailanthus","Ailanthus altissima"
"Alnus alnobetula (Ehrh.) K.Koch","2876362","Alnus alnobetula","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fagales","Betulaceae","Alnus","Alnus alnobetula"
"Alnus cordata (Loisel.) Duby","2876607","Alnus cordata","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fagales","Betulaceae","Alnus","Alnus cordata"
"Alnus glutinosa (L.) Gaertn.","2876213","Alnus glutinosa","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fagales","Betulaceae","Alnus","Alnus glutinosa"
"Alnus incana (L.) Moench","2876388","Alnus incana","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fagales","Betulaceae","Alnus","Alnus incana"
"Amelanchier ovalis DC.","8320335","Amelanchier ovalis","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Amelanchier","Amelanchier ovalis"
"Arbutus andrachne L.","4170901","Arbutus andrachne","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Ericales","Ericaceae","Arbutus","Arbutus andrachne"
"Arbutus unedo L.","2882803","Arbutus unedo","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Ericales","Ericaceae","Arbutus","Arbutus unedo"
"Betula humilis Schrank","5331629","Betula humilis","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fagales","Betulaceae","Betula","Betula humilis"
"Betula nana L.","5332004","Betula nana","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fagales","Betulaceae","Betula","Betula nana"
"Betula pendula Roth","5331916","Betula pendula","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fagales","Betulaceae","Betula","Betula pendula"
"Betula pubescens Ehrh.","5331649","Betula pubescens","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fagales","Betulaceae","Betula","Betula pubescens"
"Buxus sempervirens L.","2984671","Buxus sempervirens","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Buxales","Buxaceae","Buxus","Buxus sempervirens"
"Carpinus betulus L.","2875818","Carpinus betulus","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fagales","Betulaceae","Carpinus","Carpinus betulus"
"Carpinus orientalis Mill.","2875780","Carpinus orientalis","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fagales","Betulaceae","Carpinus","Carpinus orientalis"
"Castanea sativa Mill.","5333294","Castanea sativa","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","Castanea","Castanea sativa"
"Cedrus atlantica (Endl.) Manetti ex Carriere","5284702","Cedrus atlantica","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Cedrus","Cedrus atlantica"
"Cedrus deodara (Lamb.) G. Don","5284698","Cedrus deodara","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Cedrus","Cedrus deodara"
"Cedrus libani A. Rich.","5284682","Cedrus libani","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Cedrus","Cedrus libani"
"Celtis australis L.","2984492","Celtis australis","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Cannabaceae","Celtis","Celtis australis"
"Ceratonia siliqua L.","5356354","Ceratonia siliqua","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Ceratonia","Ceratonia siliqua"
"Cercis siliquastrum L.","5353590","Cercis siliquastrum","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Cercis","Cercis siliquastrum"
"Chamaecyparis lawsoniana (A. Murray) Parl.","2683866","Chamaecyparis lawsoniana","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Pinopsida","Pinales","Cupressaceae","Chamaecyparis","Chamaecyparis lawsoniana"
"Chamaerops humilis L.","2736625","Chamaerops humilis","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Arecales","Arecaceae","Chamaerops","Chamaerops humilis"
"Cornus mas L.","3082263","Cornus mas","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Cornales","Cornaceae","Cornus","Cornus mas"
"Cornus sanguinea L.","3082234","Cornus sanguinea","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Cornales","Cornaceae","Cornus","Cornus sanguinea"
"Cornus suecica L.","3082246","Cornus suecica","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Cornales","Cornaceae","Cornus","Cornus suecica"
"Corylus avellana L.","2875979","Corylus avellana","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fagales","Betulaceae","Corylus","Corylus avellana"
"Cotoneaster integerrimus Medik.","3025576","Cotoneaster integerrimus","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Cotoneaster","Cotoneaster integerrimus"
"Crataegus azarolus L.","3013739","Crataegus azarolus","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Crataegus","Crataegus azarolus"
"Crataegus crus-galli L.","3013404","Crataegus crus-galli","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Crataegus","Crataegus crus-galli"
"Crataegus laciniata Ucria","8240558","Crataegus laciniata","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Crataegus","Crataegus laciniata"
"Crataegus laevigata (Poir.) DC.","8252683","Crataegus laevigata","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Crataegus","Crataegus laevigata"
"Crataegus monogyna Jacq.","3014454","Crataegus monogyna","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Crataegus","Crataegus monogyna"
"Cupressus arizonica Greene","2683969","Cupressus arizonica","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Pinopsida","Pinales","Cupressaceae","Cupressus","Cupressus arizonica"
"Cupressus lusitanica Mill.","2684046","Cupressus lusitanica","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Pinopsida","Pinales","Cupressaceae","Cupressus","Cupressus lusitanica"
